hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 13.9019, 6.74652, 13.9019, 6.74652, 13.9019, 6.74652, 0, 0
2, 0.00000, 10.7839, 5.23336, 10.7839, 5.23336, 10.7839, 5.23336, 0, 0
3, 0.00000, 9.04921, 4.39153, 9.04921, 4.39153, 9.04921, 4.39153, 0, 0
4, 0.00000, 8.25203, 4.00466, 8.25203, 4.00466, 8.25203, 4.00466, 0, 0
5, 0.00000, 8.01765, 3.89092, 8.01765, 3.89092, 8.01765, 3.89092, 0, 0
6, 0.00000, 8.13484, 3.94779, 8.13484, 3.94779, 8.13484, 3.94779, 0, 0
7, 0.00000, 9.00229, 4.36876, 9.00229, 4.36876, 9.00229, 4.36876, 0, 0
8, 0.00000, 12.378, 6.00699, 12.378, 6.00699, 12.378, 6.00699, 0, 0
9, 0.00000, 16.0117, 7.7704, 16.0117, 7.7704, 16.0117, 7.7704, 0, 0
10, 0.00000, 16.1758, 7.85004, 16.1758, 7.85004, 16.1758, 7.85004, 0, 0
11, 0.00000, 15.8945, 7.71353, 15.8945, 7.71353, 15.8945, 7.71353, 0, 0
12, 0.00000, 15.3789, 7.46328, 15.3789, 7.46328, 15.3789, 7.46328, 0, 0
13, 0.00000, 15.8712, 7.7022, 15.8712, 7.7022, 15.8712, 7.7022, 0, 0
14, 0.00000, 16.6212, 8.06619, 16.6212, 8.06619, 16.6212, 8.06619, 0, 0
15, 0.00000, 17.0199, 8.25968, 17.0199, 8.25968, 17.0199, 8.25968, 0, 0
16, 0.00000, 16.9261, 8.21414, 16.9261, 8.21414, 16.9261, 8.21414, 0, 0
17, 0.00000, 15.9884, 7.75907, 15.9884, 7.75907, 15.9884, 7.75907, 0, 0
18, 0.00000, 16.2463, 7.88425, 16.2463, 7.88425, 16.2463, 7.88425, 0, 0
19, 0.00000, 17.6764, 8.57824, 17.6764, 8.57824, 17.6764, 8.57824, 0, 0
20, 0.00000, 20.3019, 9.85237, 20.3019, 9.85237, 20.3019, 9.85237, 0, 0
21, 0.00000, 22.7868, 11.0583, 22.7868, 11.0583, 22.7868, 11.0583, 0, 0
22, 0.00000, 23.4441, 11.3773, 23.4441, 11.3773, 23.4441, 11.3773, 0, 0
23, 0.00000, 21.5678, 10.4667, 21.5678, 10.4667, 21.5678, 10.4667, 0, 0
24, 0.00000, 18.0749, 8.77162, 18.0749, 8.77162, 18.0749, 8.77162, 0, 0
