i0	p0	q0	v0	i1	p1	q1	v1
6.230866675829586	-179.7664365086763	-119.45051539039765	19999.132603422422	0.0	0.0	0.0	0.0
6.231392394214528	-179.78342638794425	-119.45567132204509	19999.0207413934	0.0	0.0	0.0	0.0
6.231419609816753	-179.78342390348854	-119.45588779809785	19998.94441969016	0.0	0.0	0.0	0.0
6.231426505389595	-179.78342326479844	-119.45594265204333	19998.92494149963	0.0	0.0	0.0	0.0
6.23146634058359	-179.78341951332487	-119.45625962419828	19998.81297584375	0.0	0.0	0.0	0.0
6.231580116864768	-179.78340809540444	-119.45716454888266	19998.493327681623	0.0	0.0	0.0	0.0
6.231744733459829	-179.78338946076155	-119.45847345387931	19998.030597868245	0.0	0.0	0.0	0.0
6.231993929481799	-179.78335547220348	-119.4604536991629	19997.32965797898	0.0	0.0	0.0	0.0
6.309624417150379	-183.01943414880805	-119.42591824349606	19996.8667804269	0.0	0.0	0.0	0.0
6.395584955490617	-186.59285266888864	-119.38511569328514	19997.04370829762	0.0	0.0	0.0	0.0
6.473709174581144	-189.8287858298334	-119.34644446936878	19997.58407572369	0.0	0.0	0.0	0.0
6.560614802839442	-193.40197356603989	-119.30449836348308	19997.654694354387	0.0	0.0	0.0	0.0
6.6022882634319195	-195.10416447620153	-119.28510289866597	19997.384453667357	0.0	0.0	0.0	0.0
6.571262683992135	-193.8313360741089	-119.30072582773292	19997.193178263075	0.0	0.0	0.0	0.0
6.472851120427086	-189.78658748124468	-119.34820378914785	19997.13170194815	0.0	0.0	0.0	0.0
6.370998276183532	-185.57298387826967	-119.39681835058829	19997.00012799959	0.0	0.0	0.0	0.0
6.308926816154451	-182.9771945337087	-119.42886109200572	19995.98776241317	0.0	0.0	0.0	0.0
6.2429504254829515	-180.20878988810148	-119.46205549865326	19995.097741924663	0.0	0.0	0.0	0.0
6.232932457679091	-179.78313726270142	-119.46789430028288	19994.683785553138	0.0	0.0	0.0	0.0
6.23281260306702	-179.78317495832735	-119.46694605259412	19995.022131989805	0.0	0.0	0.0	0.0
6.232643907346447	-179.7832226063221	-119.46561031880348	19995.498739333318	0.0	0.0	0.0	0.0
6.232478635702992	-179.7832635203674	-119.46430051358507	19995.96485511767	0.0	0.0	0.0	0.0
6.232227970181506	-179.78331586574802	-119.46231202474311	19996.671178481796	0.0	0.0	0.0	0.0
6.231834297637315	-179.78337811118493	-119.4591853507041	19997.77890490968	0.0	0.0	0.0	0.0
6.230848949740075	-179.7664565482529	-119.45037782966499	19999.183406285323	0.0	0.0	0.0	0.0
6.230886161799366	-179.76641348846317	-119.45066640432498	19999.07613817693	0.0	0.0	0.0	0.0
6.231399192798623	-179.78342577114012	-119.45572539764109	19999.001558231234	0.0	0.0	0.0	0.0
6.231405999835736	-179.78342515251504	-119.45577956793159	19998.982718558214	0.0	0.0	0.0	0.0
6.231444292033866	-179.78342160360216	-119.45608417170598	19998.874528903663	0.0	0.0	0.0	0.0
6.231554471526599	-179.78341076748046	-119.4569605574352	19998.565404412537	0.0	0.0	0.0	0.0
6.231713544283817	-179.78339320730188	-119.45822547507758	19998.118587793157	0.0	0.0	0.0	0.0
6.231954211650522	-179.78336141537469	-119.46013818078107	19997.441446602654	0.0	0.0	0.0	0.0
6.309578285309795	-183.01944209441007	-119.4255557370293	19996.99542493881	0.0	0.0	0.0	0.0
6.395540268903078	-186.59285995812766	-119.38476845532405	19997.166899642398	0.0	0.0	0.0	0.0
6.473670370813674	-189.82879117709933	-119.34614575364793	19997.68979567481	0.0	0.0	0.0	0.0
6.560576356447778	-193.40197876265034	-119.30420581174555	19997.759171350106	0.0	0.0	0.0	0.0
6.602245579000682	-195.10417070920846	-119.284779948877	19997.49913997579	0.0	0.0	0.0	0.0
6.571218099840416	-193.8313429940441	-119.300387264823	19997.31406180583	0.0	0.0	0.0	0.0
6.472806739331426	-189.78659451456528	-119.34786236692463	19997.25314169827	0.0	0.0	0.0	0.0
6.370953028906703	-185.57299134232318	-119.3964656330086	19997.12554625344	0.0	0.0	0.0	0.0
6.308869828479533	-182.977207299738	-119.42841381917955	19996.14703396275	0.0	0.0	0.0	0.0
6.242883150496902	-180.20880921486207	-119.46152364226847	19995.287646169327	0.0	0.0	0.0	0.0
6.232860307193872	-179.78316038254061	-119.46732355470613	19994.887543300487	0.0	0.0	0.0	0.0
6.2327445450165575	-179.78319490626063	-119.46640721615857	19995.214041490337	0.0	0.0	0.0	0.0
6.232581997090653	-179.7832386054585	-119.46511981088352	19995.67361604224	0.0	0.0	0.0	0.0
6.232422349892567	-179.7832762580264	-119.46385425767028	19996.123457988542	0.0	0.0	0.0	0.0
6.232180571734322	-179.78332458863747	-119.4619358774008	19996.80500453845	0.0	0.0	0.0	0.0
6.231800322886692	-179.7833825366207	-119.45891533601124	19997.874502405517	0.0	0.0	0.0	0.0
